id,video,emotion
1,https://www.instagram.com/reel/DNKcHgdA-d1/?igsh=MWFxdnhjbzh1YmdhYw%3D%3D,Surprise
2,https://www.instagram.com/reel/DNHwrh2gnBm/?igsh=YTg3cGIycGtqbG51,Surprise
3,https://www.instagram.com/reel/DM7QsjnRCoa/?igsh=NDQ1NW11a2ZiZW1y,Surprise
4,https://www.instagram.com/reel/DNBBEt6Paxj/?igsh=MTB2bXgyMHhwaHI4dA%3D%3D,Surprise
5,https://www.instagram.com/reel/DMz13fQzZsN/?igsh=MWxxcDA3N2VsenpnZw%3D%3D,Proud
6,https://www.instagram.com/reel/DMz1mj7s6u7/?igsh=MXQzN3ZoNWZsMGk5cg%3D%3D,Surprise
7,https://www.instagram.com/reel/DMzlY-uxiog/?igsh=bGthOTk2Mm52YTJl,Proud
8,https://www.instagram.com/reel/DMuCyqkJwwB/?igsh=eTg2ZWtyYTF4ZWxh,Proud
9,https://www.instagram.com/reel/DMrSfkGzVwK/?igsh=MTY5aXFxNW8yejhwcA%3D%3D,Trust
10,https://www.instagram.com/reel/DMozK27xS7J/?igsh=d25seXltcmc2MWpq,Surprise
11,https://www.instagram.com/reel/DMm5ofzxt1D/?igsh=OGd4eXA1MGJlaWV1,Proud
12,http://instagram.com/reel/DMmKMrNxr50/?igsh=MWgzOHlpNnd0M3VmNw%3D%3D,Trust
13,https://www.instagram.com/reel/DMkLaw4Rqt5/?igsh=MWNhMnR0aHp2cnc2ZQ%3D%3D,Trust
14,https://www.instagram.com/reel/DMjo8jKRvlV/?igsh=MWp1cHZ2dXd5aTNhaw%3D%3D,Trust
15,https://www.instagram.com/reel/DMXQuTKRfmV/?igsh=MXRqbjN1ZXhkenpxMg%3D%3D,Surprise
16,https://www.instagram.com/reel/DMRqecSRm7M/?igsh=MWd0ejliMHhzZjhleg%3D%3D,Surprise
17,https://www.instagram.com/reel/DMHyhTJRej0/?igsh=MWxoeTdpaTdsMnIxcQ%3D%3D,Surprise
18,https://www.instagram.com/reel/DL1oBjdRc3-/?igsh=Ynp1NnIxcHN3cm9t,Sadness
19,https://www.instagram.com/reel/DLuZNKOzFQ_/?igsh=M284bXZ6a3ppZHF5,Trust
20,https://www.instagram.com/reel/DLn8SMvyPca/?igsh=Z2tndjRmM2E4emhm,Surprise
21,https://www.instagram.com/reel/DLd7bkYyuV6/?igsh=azBpd2VxMW5vM2I2,Terkejut
22,https://www.instagram.com/reel/DLW9kprxKTe/?igsh=bmwxdWJmeGd0YXY1,Surprise
23,https://www.instagram.com/reel/DLluizmyaG9/?igsh=MXRpYjVtYzZ5OHV5MQ%3D%3D,Surprise
24,https://www.instagram.com/reel/DK6gKdAxavr/?igsh=MTFtcXMyZXFmMmk1Mg%3D%3D,Surprise
25,https://www.instagram.com/reel/DK6P7JxR2HP/?igsh=cW1rb3J0aWg5ZTk3,Surprise
26,https://www.instagram.com/reel/DK5v1dZysCd/?igsh=MWwwbGR2ZDBldzZhZg%3D%3D,Surprise
27,https://www.instagram.com/reel/DKyoWLZxUhw/?igsh=MWptanFveHI0MTZvag%3D%3D,Surprise
28,https://www.instagram.com/reel/DKqTFiyyCqU/?igsh=c21yMHp5dDYzcWNy,Surprise
29,https://www.instagram.com/reel/DKYsIP8TVcJ/?igsh=djZyM3RjZ2J2dW1t,Proud
30,https://www.instagram.com/reel/DNFwcqfS6Gv/?igsh=MTRzdTJ1MThmcm9pag%3D%3D,Proud
31,https://www.instagram.com/reel/DNCx0f7yuhu/?igsh=c3drc3p4N2h1bXE5,Surprise
32,https://www.instagram.com/reel/DLrCQUayqES/?igsh=MXdoNm9qamZ2a3M2bA%3D%3D,Surprise
33,https://www.instagram.com/reel/DKRqwksS_WC/?igsh=MWVwMDB6Y2JhbnVuZg%3D%3D,Terkejut
34,https://www.instagram.com/reel/DKQ8RCqypek/?igsh=eXdiamQ2aXd0Zm5t,Joy
35,https://www.instagram.com/reel/DJ3CggBSV0c/?igsh=emx2ZXFpc2lrYmt6,Proud
36,https://www.instagram.com/reel/DJbiKpfSoQS/?igsh=MTIzcWo1enhibjUydw%3D%3D,Surprise
37,https://www.instagram.com/reel/DI24B5NS1Ng/?igsh=MTh6d2pjcXRsZmZ2aw%3D%3D,Trust
38,https://www.instagram.com/reel/DIu8g5XSNwT/?igsh=ejI0aWFzbDJpZmF4,Surprise
39,https://www.instagram.com/reel/DHubvAIyjA_/?igsh=anp1aGhqM2docmd5,Proud
40,https://www.instagram.com/reel/DHTC04Vybkk/?igsh=MXIzYmx6NXBzdzdqOQ%3D%3D,Surprise
41,https://www.instagram.com/reel/DG0Nu85ycJK/?igsh=eTU0ZnZrMjVpa2d4,Proud
42,https://www.instagram.com/reel/DGuKn9eS6IT/?igsh=MTl4ZnBkcWp1MXJzMQ%3D%3D,Proud
43,https://www.instagram.com/reel/DNF5kvrJIpl/,Anger
44,https://www.instagram.com/reel/DNDbR2lJ7sn/,Surprise
45,https://www.instagram.com/reel/DNAxNJKpnJT/,Joy
46,https://www.instagram.com/reel/DM_4hlAJR8U/,Surprise
47,https://www.instagram.com/reel/DM-MoXEJv7m/,Surprise
48,https://www.instagram.com/reel/DM9-q-rpVW6/,Trkejut
49,https://www.instagram.com/reel/DM4qKYWJXcc/,Surprise
50,https://www.instagram.com/reel/DMztaoaJdth/,Joy
51,https://www.instagram.com/reel/DMxecAZJV7F/,Joy
52,https://www.instagram.com/reel/DMwfzmvpolh/,Surprise
53,https://www.instagram.com/reel/DMu0uGhJ-Ll/,Surprise
54,https://www.instagram.com/reel/DMuIn2BJhgC/,Joy
55,https://www.instagram.com/reel/DMbifQvBvxE/,Surprise
56,https://www.instagram.com/reel/DMaJB-KJbM1/,Joy
57,https://www.instagram.com/reel/DL8oCzzyd9d/,Surprise
58,https://www.instagram.com/reel/DLzEOuRJyY9/,Surprise
59,https://www.instagram.com/reel/DKuNykmzl8i/,Joy
60,https://www.instagram.com/reel/DK9I9hwpBxE/,Surprise
61,https://www.instagram.com/reel/DK68neNpv_z/,Sadness
62,https://www.instagram.com/reel/DK6KDASJ9q8/,Anger
63,https://www.instagram.com/reel/DK3mIHdzM65/,Surprise
64,https://www.instagram.com/reel/DJqtB7upaqL/,Joy
65,https://www.instagram.com/reel/DJlvZ19pO3Z/,Joy
66,https://www.instagram.com/reel/DJTQJ6zJA33/,Joy
67,https://www.instagram.com/reel/DHwfy_cT9QI/,Fear
68,https://www.instagram.com/reel/DHt61dSzxF5/,Surprise
69,https://www.instagram.com/reel/DHrWmL0zzRB/,Surprise
70,https://www.instagram.com/reel/DHppRXQyl6Q/,Joy
71,https://www.instagram.com/reel/DHoxp-nTr5A/,Surprise
72,https://www.instagram.com/reel/DHnNXV3JFse/,Surprise
73,https://www.instagram.com/reel/DHMczehTEgW/,Surprise
74,https://www.instagram.com/reel/DHK03enJEes/,Surprise
75,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link,Proud
76,https://drive.google.com/file/d/12YBpn9zWc_3FfDadbmlip4s98_GjqUGY/view?usp=share_link,Trust
